Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA),Date of Departure (ETD)
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Bremerhaven,DE BRV,7/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Bremerhaven,DE BRV,21/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Bremerhaven,DE BRV,18/6/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Bremerhaven,DE BRV,29/6/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Bremerhaven,DE BRV,2/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Bremerhaven,DE BRV,8/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Bremerhaven,DE BRV,17/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Zeebrugge,BE ZEE,27/4/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Zeebrugge,BE ZEE,22/4/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,63 A,Zeebrugge,BE ZEE,25/4/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Zeebrugge,BE ZEE,5/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Zeebrugge,BE ZEE,14/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Zeebrugge,BE ZEE,19/5/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,37 A,Zeebrugge,BE ZEE,20/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Zeebrugge,BE ZEE,1/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Zeebrugge,BE ZEE,10/6/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,55 A,Zeebrugge,BE ZEE,9/6/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Zeebrugge,BE ZEE,9/6/2021,
K-LINE,EU-NA,DRIVE GREEN HIGHWAY,150  ,5.80  ,65 A,Zeebrugge,BE ZEE,23/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Zeebrugge,BE ZEE,20/6/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Zeebrugge,BE ZEE,1/7/2021,
K-LINE,EU-NA,VICTORIA HIGHWAY,150  ,5.80  ,39 A,Zeebrugge,BE ZEE,4/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Zeebrugge,BE ZEE,10/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Zeebrugge,BE ZEE,20/7/2021,
K-LINE,EU-NA,HORIZON HIGHWAY,150  ,5.80  ,53 A,Baltimore,US BAL,9/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Baltimore,US BAL,10/5/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,51 A,Baltimore,US BAL,21/5/2021,
K-LINE,EU-NA,OLYMPIAN HIGHWAY,150  ,5.80  ,44 A,Baltimore,US BAL,26/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Baltimore,US BAL,30/5/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,66 A,Baltimore,US BAL,11/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,52 A,Baltimore,US BAL,20/6/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,4 A,Baltimore,US BAL,28/6/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,12 A,Baltimore,US BAL,1/7/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,67 A,Baltimore,US BAL,12/7/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Baltimore,US BAL,20/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Baltimore,US BAL,31/7/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Brunswick,US BCK,14/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Brunswick,US BCK,3/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Brunswick,US BCK,24/7/2021,
K-LINE,EU-NA,BROOKLANDS,150  ,5.10  ,5 A,Brunswick,US BCK,4/8/2021,
K-LINE,EU-NA,ORION HIGHWAY,150  ,5.80  ,65 A,Charleston,US CHS,16/5/2021,
K-LINE,EU-NA,DONINGTON,150  ,5.10  ,11A,Charleston,US CHS,5/6/2021,
K-LINE,EU-NA,HAWAIIAN HIGHWAY,150  ,5.80  ,53 A,Charleston,US CHS,26/7/2021,
